Column,Original,Imputed/Encoded
Annual Inc Joint,,165000.0 (From Annual Inc)
Annual Inc Joint,,51000.0 (From Annual Inc)
Annual Inc Joint,,100000.0 (From Annual Inc)
Annual Inc Joint,,95000.0 (From Annual Inc)
Annual Inc Joint,,55120.0 (From Annual Inc)
Annual Inc Joint,,112000.0 (From Annual Inc)
Annual Inc Joint,,60000.0 (From Annual Inc)
Annual Inc Joint,,52000.0 (From Annual Inc)
Annual Inc Joint,,70000.0 (From Annual Inc)
Annual Inc Joint,,115000.0 (From Annual Inc)
Annual Inc Joint,,30000.0 (From Annual Inc)
Annual Inc Joint,,90000.0 (From Annual Inc)
Annual Inc Joint,,45000.0 (From Annual Inc)
Annual Inc Joint,,122000.0 (From Annual Inc)
Annual Inc Joint,,113000.0 (From Annual Inc)
Annual Inc Joint,,140000.0 (From Annual Inc)
Annual Inc Joint,,50000.0 (From Annual Inc)
Annual Inc Joint,,62500.0 (From Annual Inc)
Annual Inc Joint,,116000.0 (From Annual Inc)
Annual Inc Joint,,75000.0 (From Annual Inc)
Annual Inc Joint,,110000.0 (From Annual Inc)
Annual Inc Joint,,39700.0 (From Annual Inc)
Annual Inc Joint,,105000.0 (From Annual Inc)
Annual Inc Joint,,85000.0 (From Annual Inc)
Annual Inc Joint,,40000.0 (From Annual Inc)
Annual Inc Joint,,150000.0 (From Annual Inc)
Annual Inc Joint,,46000.0 (From Annual Inc)
Annual Inc Joint,,69836.0 (From Annual Inc)
Annual Inc Joint,,185000.0 (From Annual Inc)
Annual Inc Joint,,58905.0 (From Annual Inc)
Annual Inc Joint,,87110.0 (From Annual Inc)
Annual Inc Joint,,65000.0 (From Annual Inc)
Annual Inc Joint,,17000.0 (From Annual Inc)
Annual Inc Joint,,80000.0 (From Annual Inc)
Annual Inc Joint,,48000.0 (From Annual Inc)
Annual Inc Joint,,27000.0 (From Annual Inc)
Annual Inc Joint,,32000.0 (From Annual Inc)
Annual Inc Joint,,53000.0 (From Annual Inc)
Annual Inc Joint,,38000.0 (From Annual Inc)
Annual Inc Joint,,72168.0 (From Annual Inc)
Annual Inc Joint,,73000.0 (From Annual Inc)
Annual Inc Joint,,104000.0 (From Annual Inc)
Annual Inc Joint,,59394.0 (From Annual Inc)
Annual Inc Joint,,360000.0 (From Annual Inc)
Annual Inc Joint,,210000.0 (From Annual Inc)
Annual Inc Joint,,193000.0 (From Annual Inc)
Annual Inc Joint,,135000.0 (From Annual Inc)
Annual Inc Joint,,66500.0 (From Annual Inc)
Annual Inc Joint,,81400.0 (From Annual Inc)
